开彩日期,彩号,秦庄,英庄,奖,秦典,英典
2023-11-11,5919,大馬彩,damacai,安慰奖,去大山脚,Travel To Bukit Mertajam
2023-09-03,5919,多多博彩,magnum,特别奖,去大山脚,Go To Bukit Mertajam
2022-02-23,5919,大馬彩,damacai,特别奖,去大山脚,Travel To Bukit Mertajam
2022-01-09,5919,,sg4d,特别奖,,
2021-09-15,5919,,sg4d,特别奖,,
2021-02-10,5919,萬能,toto,特别奖,水银,Mercury
2019-04-20,5919,,sg4d,特别奖,,
2017-02-28,5919,萬能,toto,特别奖,水银,Mercury
2015-07-01,5919,多多博彩,magnum,首奖,去大山脚,Go To Bukit Mertajam
2015-02-22,5919,多多博彩,magnum,特别奖,去大山脚,Go To Bukit Mertajam
2015-02-21,5919,大馬彩,damacai,安慰奖,去大山脚,Travel To Bukit Mertajam
2014-03-15,5919,萬能,toto,特别奖,水银,Mercury
2014-03-08,5919,大馬彩,damacai,安慰奖,去大山脚,Travel To Bukit Mertajam
2011-09-06,5919,多多博彩,magnum,安慰奖,去大山脚,Go To Bukit Mertajam
2011-01-23,5919,大馬彩,damacai,特别奖,去大山脚,Travel To Bukit Mertajam
2010-12-08,5919,萬能,toto,二奖,水银,Mercury
2010-09-15,5919,,sg4d,特别奖,,
2010-03-03,5919,,sg4d,安慰奖,,
2009-05-23,5919,大馬彩,damacai,安慰奖,去大山脚,Travel To Bukit Mertajam
2008-12-17,5919,,sg4d,安慰奖,,
2007-05-23,5919,大馬彩,damacai,安慰奖,去大山脚,Travel To Bukit Mertajam
2006-08-05,5919,大馬彩,damacai,特别奖,去大山脚,Travel To Bukit Mertajam
2005-12-28,5919,大馬彩,damacai,安慰奖,去大山脚,Travel To Bukit Mertajam
2005-12-11,5919,多多博彩,magnum,特别奖,去大山脚,Go To Bukit Mertajam
2005-04-10,5919,多多博彩,magnum,安慰奖,去大山脚,Go To Bukit Mertajam
2004-03-14,5919,大馬彩,damacai,安慰奖,去大山脚,Travel To Bukit Mertajam
2004-02-11,5919,萬能,toto,安慰奖,水银,Mercury
2001-12-04,5919,萬能,toto,安慰奖,水银,Mercury
1999-06-15,5919,多多博彩,magnum,三奖,去大山脚,Go To Bukit Mertajam
1998-11-28,5919,萬能,toto,特别奖,水银,Mercury
1998-06-21,5919,多多博彩,magnum,安慰奖,去大山脚,Go To Bukit Mertajam
1994-03-31,5919,萬能,toto,特别奖,水银,Mercury
1993-04-29,5919,萬能,toto,特别奖,水银,Mercury
1993-02-06,5919,多多博彩,magnum,安慰奖,去大山脚,Go To Bukit Mertajam
1992-07-12,5919,大馬彩,damacai,特别奖,去大山脚,Travel To Bukit Mertajam
