开彩日期,彩号,秦庄,奖,秦典,英典
2024-03-10,0045,萬能,特别奖,风筝断线,Flying Kite Snapped
2023-09-13,0045,多多博彩,安慰奖,风筝断线,A Kite With A Broken String
2023-06-28,0045,萬能,特别奖,风筝断线,Flying Kite Snapped
2022-12-14,0045,多多博彩,特别奖,风筝断线,A Kite With A Broken String
2022-02-06,0045,多多博彩,特别奖,风筝断线,A Kite With A Broken String
2021-04-03,0045,多多博彩,安慰奖,风筝断线,A Kite With A Broken String
2021-02-09,0045,萬能,安慰奖,风筝断线,Flying Kite Snapped
2021-01-20,0045,多多博彩,安慰奖,风筝断线,A Kite With A Broken String
2018-06-27,0045,多多博彩,二奖,风筝断线,A Kite With A Broken String
2018-01-17,0045,星池,安慰奖,,
2017-07-25,0045,大馬彩,安慰奖,风筝断线,Broken Kite String
2017-05-31,0045,星池,安慰奖,,
2016-02-14,0045,星池,特别奖,,
2016-02-13,0045,星池,特别奖,,
2015-10-18,0045,大馬彩,特别奖,风筝断线,Broken Kite String
2015-05-27,0045,星池,安慰奖,,
2015-01-31,0045,星池,安慰奖,,
2014-06-01,0045,萬能,特别奖,风筝断线,Flying Kite Snapped
2014-03-23,0045,多多博彩,二奖,风筝断线,A Kite With A Broken String
2014-01-22,0045,萬能,特别奖,风筝断线,Flying Kite Snapped
2012-12-02,0045,萬能,首奖,风筝断线,Flying Kite Snapped
2012-12-01,0045,萬能,特别奖,风筝断线,Flying Kite Snapped
2012-10-17,0045,萬能,安慰奖,风筝断线,Flying Kite Snapped
2012-08-25,0045,多多博彩,特别奖,风筝断线,A Kite With A Broken String
2012-02-05,0045,萬能,特别奖,风筝断线,Flying Kite Snapped
2011-05-07,0045,多多博彩,安慰奖,风筝断线,A Kite With A Broken String
2010-02-07,0045,星池,特别奖,,
2009-11-28,0045,萬能,安慰奖,风筝断线,Flying Kite Snapped
2009-11-14,0045,大馬彩,特别奖,风筝断线,Broken Kite String
2009-08-08,0045,萬能,安慰奖,风筝断线,Flying Kite Snapped
2008-12-14,0045,多多博彩,特别奖,风筝断线,A Kite With A Broken String
2007-11-27,0045,大馬彩,安慰奖,风筝断线,Broken Kite String
2007-10-27,0045,大馬彩,安慰奖,风筝断线,Broken Kite String
2007-06-02,0045,萬能,特别奖,风筝断线,Flying Kite Snapped
2005-05-15,0045,大馬彩,安慰奖,风筝断线,Broken Kite String
2001-07-04,0045,大馬彩,安慰奖,风筝断线,Broken Kite String
2001-01-30,0045,多多博彩,特别奖,风筝断线,A Kite With A Broken String
2000-09-24,0045,多多博彩,特别奖,风筝断线,A Kite With A Broken String
1998-08-30,0045,萬能,特别奖,风筝断线,Flying Kite Snapped
1997-05-17,0045,大馬彩,特别奖,风筝断线,Broken Kite String
1996-05-18,0045,多多博彩,三奖,风筝断线,A Kite With A Broken String
1996-01-31,0045,萬能,安慰奖,风筝断线,Flying Kite Snapped
1995-12-23,0045,萬能,安慰奖,风筝断线,Flying Kite Snapped
1993-04-10,0045,多多博彩,安慰奖,风筝断线,A Kite With A Broken String
1989-01-09,0045,多多博彩,安慰奖,风筝断线,A Kite With A Broken String
1986-11-16,0045,多多博彩,安慰奖,风筝断线,A Kite With A Broken String
