开彩日期,彩号,秦庄,彩金,秦典,英典
2024-09-04,3129,多多博彩,首奖,大香,Huge Joss Stick
2024-03-20,3129,大馬彩,特别奖,大香,Incense
2023-12-02,3129,萬能,安慰奖,牛过马路,Cow Crossing Road
2023-11-29,3129,大馬彩,安慰奖,大香,Incense
2023-09-02,3129,星池,安慰奖,,
2022-11-27,3129,星池,特别奖,,
2022-07-09,3129,大馬彩,安慰奖,大香,Incense
2021-11-14,3129,多多博彩,安慰奖,大香,Huge Joss Stick
2021-10-06,3129,大馬彩,二奖,大香,Incense
2020-12-16,3129,星池,特别奖,,
2020-09-19,3129,大馬彩,安慰奖,大香,Incense
2020-07-25,3129,星池,特别奖,,
2019-02-13,3129,星池,三奖,,
2016-11-19,3129,多多博彩,三奖,大香,Huge Joss Stick
2016-10-02,3129,多多博彩,安慰奖,大香,Huge Joss Stick
2016-08-14,3129,星池,特别奖,,
2016-05-03,3129,大馬彩,特别奖,大香,Incense
2016-04-24,3129,萬能,安慰奖,牛过马路,Cow Crossing Road
2016-02-14,3129,大馬彩,特别奖,大香,Incense
2015-01-27,3129,多多博彩,二奖,大香,Huge Joss Stick
2014-12-31,3129,多多博彩,安慰奖,大香,Huge Joss Stick
2013-01-06,3129,星池,首奖,,
2012-12-02,3129,大馬彩,安慰奖,大香,Incense
2011-06-22,3129,多多博彩,特别奖,大香,Huge Joss Stick
2011-06-12,3129,萬能,安慰奖,牛过马路,Cow Crossing Road
2011-01-25,3129,大馬彩,特别奖,大香,Incense
2010-11-27,3129,萬能,特别奖,牛过马路,Cow Crossing Road
2009-08-09,3129,大馬彩,特别奖,大香,Incense
2008-04-02,3129,萬能,安慰奖,牛过马路,Cow Crossing Road
2008-03-19,3129,萬能,首奖,牛过马路,Cow Crossing Road
2007-11-18,3129,萬能,安慰奖,牛过马路,Cow Crossing Road
2007-09-02,3129,萬能,二奖,牛过马路,Cow Crossing Road
2007-04-18,3129,萬能,安慰奖,牛过马路,Cow Crossing Road
2005-06-11,3129,多多博彩,首奖,大香,Huge Joss Stick
2003-06-21,3129,萬能,安慰奖,牛过马路,Cow Crossing Road
2003-06-21,3129,萬能,三奖,牛过马路,Cow Crossing Road
2003-03-08,3129,大馬彩,安慰奖,大香,Incense
2002-12-18,3129,大馬彩,安慰奖,大香,Incense
2001-08-12,3129,多多博彩,安慰奖,大香,Huge Joss Stick
2001-07-31,3129,大馬彩,特别奖,大香,Incense
2000-04-22,3129,大馬彩,安慰奖,大香,Incense
2000-03-26,3129,大馬彩,安慰奖,大香,Incense
1999-08-21,3129,萬能,安慰奖,牛过马路,Cow Crossing Road
1998-01-28,3129,大馬彩,特别奖,大香,Incense
1997-09-28,3129,多多博彩,安慰奖,大香,Huge Joss Stick
1996-03-17,3129,萬能,安慰奖,牛过马路,Cow Crossing Road
1995-03-15,3129,萬能,三奖,牛过马路,Cow Crossing Road
1994-07-23,3129,多多博彩,安慰奖,大香,Huge Joss Stick
1993-12-08,3129,萬能,安慰奖,牛过马路,Cow Crossing Road
1992-10-03,3129,多多博彩,特别奖,大香,Huge Joss Stick
