开彩日期,彩号,秦庄,英庄,奖,秦典,英典
2024-09-04,1269,萬能,toto,特别奖,木偶,Puppet
2024-07-24,1269,多多博彩,magnum,安慰奖,木偶,Puppet
2023-07-12,1269,大馬彩,damacai,安慰奖,木偶,Puppet
2023-04-30,1269,大馬彩,damacai,安慰奖,木偶,Puppet
2023-03-19,1269,萬能,toto,安慰奖,木偶,Puppet
2023-03-08,1269,萬能,toto,二奖,木偶,Puppet
2023-03-04,1269,,sg4d,特别奖,,
2022-07-27,1269,大馬彩,damacai,特别奖,木偶,Puppet
2022-05-28,1269,多多博彩,magnum,特别奖,木偶,Puppet
2022-02-16,1269,多多博彩,magnum,特别奖,木偶,Puppet
2021-05-22,1269,萬能,toto,安慰奖,木偶,Puppet
2020-07-11,1269,萬能,toto,三奖,木偶,Puppet
2019-01-29,1269,大馬彩,damacai,首奖,木偶,Puppet
2018-03-25,1269,多多博彩,magnum,安慰奖,木偶,Puppet
2017-05-28,1269,多多博彩,magnum,特别奖,木偶,Puppet
2016-10-16,1269,大馬彩,damacai,安慰奖,木偶,Puppet
2014-10-18,1269,大馬彩,damacai,特别奖,木偶,Puppet
2013-11-16,1269,,sg4d,特别奖,,
2012-11-18,1269,萬能,toto,特别奖,木偶,Puppet
2011-10-08,1269,,sg4d,安慰奖,,
2011-02-12,1269,多多博彩,magnum,特别奖,木偶,Puppet
2010-12-19,1269,多多博彩,magnum,特别奖,木偶,Puppet
2010-07-07,1269,萬能,toto,特别奖,木偶,Puppet
2009-08-30,1269,多多博彩,magnum,安慰奖,木偶,Puppet
2009-08-29,1269,大馬彩,damacai,特别奖,木偶,Puppet
2007-06-26,1269,多多博彩,magnum,首奖,木偶,Puppet
2006-09-23,1269,多多博彩,magnum,安慰奖,木偶,Puppet
2004-01-14,1269,萬能,toto,特别奖,木偶,Puppet
2000-08-09,1269,大馬彩,damacai,特别奖,木偶,Puppet
2000-02-09,1269,大馬彩,damacai,特别奖,木偶,Puppet
1999-03-24,1269,萬能,toto,二奖,木偶,Puppet
1998-11-18,1269,多多博彩,magnum,特别奖,木偶,Puppet
1997-07-20,1269,多多博彩,magnum,安慰奖,木偶,Puppet
1995-08-13,1269,大馬彩,damacai,安慰奖,木偶,Puppet
1995-07-29,1269,萬能,toto,安慰奖,木偶,Puppet
1994-11-19,1269,多多博彩,magnum,特别奖,木偶,Puppet
1994-05-28,1269,多多博彩,magnum,特别奖,木偶,Puppet
1994-03-13,1269,萬能,toto,安慰奖,木偶,Puppet
1994-02-17,1269,萬能,toto,安慰奖,木偶,Puppet
1993-09-23,1269,多多博彩,magnum,特别奖,木偶,Puppet
1993-06-12,1269,大馬彩,damacai,二奖,木偶,Puppet
1992-08-16,1269,萬能,toto,首奖,木偶,Puppet
1989-07-24,1269,多多博彩,magnum,特别奖,木偶,Puppet
1985-12-22,1269,多多博彩,magnum,安慰奖,木偶,Puppet
